[2026-06-23 21:02:59.287] [SERVER] [INICIANDO NOVA TRANSMISSÃO] 
[2026-06-23 21:02:59.583] [PROTOCOLO] [ERRO] noise
[2026-06-23 21:02:59.596] [PROTOCOLO] [ERRO] noise
[2026-06-23 21:02:59.721] [PROTOCOLO] [ERRO] noise
[2026-06-23 21:02:59.997] [PROTOCOLO] [ERRO] noise
[2026-06-23 21:03:00.89] [PROTOCOLO] [ERRO] noise
[2026-06-23 21:03:00.202] [PROTOCOLO] [ERRO] noise
[2026-06-23 21:03:00.611] [PROTOCOLO] [ERRO] noise
[2026-06-23 21:03:00.860] [PROTOCOLO] [ERRO] noise
[2026-06-23 21:03:01.85] [PROTOCOLO] [ERRO] noise
[2026-06-23 21:03:01.112] [PROTOCOLO] [ERRO] noise
[2026-06-23 21:03:02.651] [PROTOCOLO] [ERRO] noise
[2026-06-23 21:03:02.920] [PROTOCOLO] [ERRO] noise
[2026-06-23 21:03:03.84] [PROTOCOLO] [ERRO] noise
[2026-06-23 21:03:03.250] [SERVER] [INFO] Recebeu mensagem flecha
[2026-06-23 21:03:03.252] [PROTOCOLO] [ERRO] noise
[2026-06-23 21:03:03.585] [SERVER] [INFO] Recebeu mensagem flecha
[2026-06-23 21:03:03.588] [PROTOCOLO] [ERRO] noise
[2026-06-23 21:03:03.858] [PROTOCOLO] [ERRO] noise
[2026-06-23 21:03:04.58] [SERVER] [INFO] Recebeu mensagem flecha
[2026-06-23 21:03:04.88] [PROTOCOLO] [ERRO] noise
[2026-06-23 21:03:04.616] [PROTOCOLO] [ERRO] noise
[2026-06-23 21:03:05.102] [SERVER] [INFO] Recebeu mensagem flecha
[2026-06-23 21:03:11.234] [PROTOCOLO] [ERRO] noise
[2026-06-23 21:03:11.249] [PROTOCOLO] [ERRO] noise
[2026-06-23 21:03:11.492] [SERVER] [INFO] Recebeu RESYNC do client
[2026-06-23 21:03:11.493] [SERVER] [INFO] Aguardando ack RESYNC do client
[2026-06-23 21:03:11.493] [PROTOCOLO] [ERRO] noise
[2026-06-23 21:03:12.996] [SERVER] [INFO] Recebido ack RESYNC do client
[2026-06-23 21:03:12.996] [SERVER] [INFO] Reenviando mundo do zero
[2026-06-23 21:03:12.997] [PROTOCOLO] [ERRO] noise
[2026-06-23 21:03:12.997] [PROTOCOLO] [ERRO] noise
[2026-06-23 21:03:12.997] [PROTOCOLO] [ERRO] noise
[2026-06-23 21:03:12.998] [SERVER] [ERRO] Falha ao enviar frame do mundo, seq 0
[2026-06-23 21:03:12.998] [SERVER] [INFO] Falha ao enviar mundo, tentando novamente
[2026-06-23 21:03:13.300] [SERVER] [ERRO] Falha ao enviar frame do mundo, seq 0
[2026-06-23 21:03:13.301] [SERVER] [INFO] Falha ao enviar mundo, tentando novamente
[2026-06-23 21:03:13.603] [SERVER] [ERRO] Falha ao enviar frame do mundo, seq 0
[2026-06-23 21:03:13.603] [SERVER] [INFO] Falha ao enviar mundo, tentando novamente
[2026-06-23 21:03:13.905] [SERVER] [ERRO] Falha ao enviar frame do mundo, seq 0
[2026-06-23 21:03:13.905] [SERVER] [INFO] Falha ao enviar mundo, tentando novamente
[2026-06-23 21:03:14.207] [SERVER] [ERRO] Falha ao enviar frame do mundo, seq 0
[2026-06-23 21:03:14.208] [SERVER] [INFO] Falha ao enviar mundo, tentando novamente
[2026-06-23 21:03:14.510] [SERVER] [ERRO] Falha ao enviar frame do mundo, seq 0
[2026-06-23 21:03:14.510] [SERVER] [INFO] Falha ao enviar mundo, tentando novamente
[2026-06-23 21:03:14.812] [SERVER] [ERRO] Falha ao enviar frame do mundo, seq 0
[2026-06-23 21:03:14.812] [SERVER] [INFO] Falha ao enviar mundo, tentando novamente
[2026-06-23 21:03:15.114] [SERVER] [ERRO] Falha ao enviar frame do mundo, seq 0
[2026-06-23 21:03:15.114] [SERVER] [INFO] Falha ao enviar mundo, tentando novamente
[2026-06-23 21:03:15.416] [SERVER] [ERRO] Falha ao enviar frame do mundo, seq 0
[2026-06-23 21:03:15.416] [SERVER] [INFO] Falha ao enviar mundo, tentando novamente
[2026-06-23 21:03:15.718] [SERVER] [ERRO] Falha ao enviar frame do mundo, seq 0
[2026-06-23 21:03:15.719] [SERVER] [INFO] Falha ao enviar mundo, tentando novamente
[2026-06-23 21:03:16.21] [SERVER] [ERRO] Falha ao enviar frame do mundo, seq 0
[2026-06-23 21:03:16.21] [SERVER] [INFO] Falha ao enviar mundo, tentando novamente
[2026-06-23 21:03:16.323] [SERVER] [ERRO] Falha ao enviar frame do mundo, seq 0
[2026-06-23 21:03:16.323] [SERVER] [INFO] Falha ao enviar mundo, tentando novamente
[2026-06-23 21:03:16.624] [SERVER] [ERRO] Falha ao enviar frame do mundo, seq 0
[2026-06-23 21:03:16.624] [SERVER] [INFO] Falha ao enviar mundo, tentando novamente
[2026-06-23 21:03:16.926] [SERVER] [ERRO] Falha ao enviar frame do mundo, seq 0
[2026-06-23 21:03:16.926] [SERVER] [INFO] Falha ao enviar mundo, tentando novamente
[2026-06-23 21:03:17.227] [SERVER] [ERRO] Falha ao enviar frame do mundo, seq 0
[2026-06-23 21:03:17.227] [SERVER] [INFO] Falha ao enviar mundo, tentando novamente
[2026-06-23 21:03:17.527] [SERVER] [ERRO] Falha ao enviar frame do mundo, seq 0
[2026-06-23 21:03:17.527] [SERVER] [INFO] Falha ao enviar mundo, tentando novamente
[2026-06-23 21:03:17.829] [SERVER] [ERRO] Falha ao enviar frame do mundo, seq 0
[2026-06-23 21:03:17.830] [SERVER] [INFO] Falha ao enviar mundo, tentando novamente
[2026-06-23 21:03:18.130] [SERVER] [ERRO] Falha ao enviar frame do mundo, seq 1
[2026-06-23 21:03:18.130] [SERVER] [INFO] Falha ao enviar mundo, tentando novamente
[2026-06-23 21:03:18.432] [SERVER] [ERRO] Falha ao enviar frame do mundo, seq 0
[2026-06-23 21:03:18.432] [SERVER] [INFO] Falha ao enviar mundo, tentando novamente
[2026-06-23 21:03:18.734] [SERVER] [ERRO] Falha ao enviar frame do mundo, seq 0
[2026-06-23 21:03:18.734] [SERVER] [INFO] Falha ao enviar mundo, tentando novamente
[2026-06-23 21:03:19.36] [SERVER] [ERRO] Falha ao enviar frame do mundo, seq 0
[2026-06-23 21:03:19.37] [SERVER] [INFO] Falha ao enviar mundo, tentando novamente
[2026-06-23 21:03:19.339] [SERVER] [ERRO] Falha ao enviar frame do mundo, seq 0
[2026-06-23 21:03:19.339] [SERVER] [INFO] Falha ao enviar mundo, tentando novamente
[2026-06-23 21:03:19.640] [SERVER] [ERRO] Falha ao enviar frame do mundo, seq 0
[2026-06-23 21:03:19.640] [SERVER] [INFO] Falha ao enviar mundo, tentando novamente
[2026-06-23 21:03:19.942] [SERVER] [ERRO] Falha ao enviar frame do mundo, seq 0
[2026-06-23 21:03:19.942] [SERVER] [INFO] Falha ao enviar mundo, tentando novamente
